,Dataset,IG,KW,FST,MM,DTW,C4.5,1NN,NB,BN,RAF,ROF,SVM,FSH,LTS
1,Adiac,0.299,0.266,0.156,0.271,0.491,0.243,0.253,0.281,0.251,0.304,0.307,0.238,0.558,0.542
2,Beef,0.500,0.333,0.567,0.300,0.433,0.600,0.833,0.733,0.900,0.600,0.700,0.867,0.517,0.800
3,Beetle/Fly,0.775,0.700,0.900,0.800,0.650,0.750,1.000,0.925,0.975,0.900,0.950,0.975,0.742,0.950
4,Bird/Chicken,0.850,0.875,0.900,0.875,0.725,0.900,0.975,0.875,0.950,0.950,0.925,0.950,0.843,1.000
5,ChlorineConcentration,0.588,0.520,0.535,0.521,0.634,0.565,0.569,0.460,0.571,0.576,0.635,0.562,0.578,0.743
6,Coffee,0.964,0.857,1.000,0.857,0.464,0.857,1.000,0.929,0.964,1.000,0.893,1.000,0.925,1.000
7,DiatomSizeReduction,0.722,0.621,0.765,0.448,0.925,0.752,0.935,0.788,0.902,0.804,0.830,0.922,0.869,0.951
8,DP Little,0.654,0.680,0.603,0.710,0.493,0.659,0.728,0.735,0.729,0.730,0.747,0.752,0.566,0.727
9,DP Middle,0.705,0.693,0.619,0.737,0.546,0.712,0.737,0.740,0.747,0.755,0.768,0.796,0.581,0.758
10,DP_Thumb,0.581,0.720,0.560,0.703,0.530,0.580,0.607,0.630,0.639,0.641,0.671,0.698,0.580,0.740
11,ECGFiveDays,0.775,0.872,0.990,0.928,0.828,0.962,0.984,0.964,0.995,0.933,0.986,0.990,0.996,1.000
12,FaceFour,0.841,0.443,0.750,0.409,0.830,0.761,1.000,0.977,1.000,0.875,0.989,0.977,0.909,1.000
13,GunPoint,0.893,0.940,0.953,0.920,0.913,0.907,0.980,0.920,0.993,0.960,0.987,1.000,0.932,1.000
14,ItalyPowerDemand,0.892,0.910,0.931,0.911,0.961,0.910,0.921,0.925,0.924,0.930,0.920,0.921,0.921,0.962
15,Lighting?,0.493,0.480,0.411,0.274,0.726,0.534,0.493,0.575,0.658,0.644,0.658,0.699,0.601,0.877
16,MedicalImages,0.488,0.471,0.508,0.490,0.690,0.449,0.457,0.174,0.282,0.508,0.515,0.525,0.608,0.734
17,MoteStrain,0.825,0.840,0.840,0.840,0.816,0.844,0.903,0.888,0.891,0.846,0.870,0.887,0.785,0.913
18,MP Little,0.664,0.697,0.578,0.703,0.558,0.634,0.685,0.688,0.695,0.714,0.752,0.750,0.565,0.758
19,MP Middle,0.710,0.750,0.609,0.720,0.470,0.733,0.709,0.720,0.711,0.752,0.747,0.769,0.605,0.780
20,Otoliths,0.672,0.609,0.578,0.547,0.594,0.656,0.719,0.688,0.641,0.656,0.594,0.641,0.560,0.766
21,PP Little,0.596,0.720,0.586,0.673,0.495,0.574,0.672,0.692,0.701,0.666,0.698,0.721,0.549,0.710
22,PP Middle,0.614,0.683,0.581,0.697,0.499,0.625,0.685,0.698,0.714,0.705,0.754,0.759,0.580,0.767
23,PP_Thumb,0.608,0.713,0.591,0.730,0.526,0.595,0.677,0.694,0.695,0.678,0.728,0.755,0.536,0.715
24,SonyAIBORobotSurface,0.845,0.727,0.953,0.749,0.699,0.845,0.840,0.790,0.897,0.852,0.890,0.867,0.698,0.952
25,Symbols,0.780,0.557,0.801,0.574,0.934,0.471,0.856,0.780,0.923,0.846,0.844,0.846,0.930,0.959
26,SyntheticControl,0.943,0.900,0.957,0.857,0.973,0.903,0.930,0.780,0.767,0.890,0.920,0.873,0.917,1.000
27,Trace,0.980,0.940,0.980,1.000,0.990,0.980,0.980,0.980,1.000,0.980,0.980,0.980,1.000,1.000
28,TwoLeadECG,0.851,0.764,0.970,0.853,0.795,0.853,0.995,0.991,0.988,0.961,0.980,0.993,0.922,1.000
